,Company,Current CEO,"Gender (1 female, 2 male)",Date Employed,code
0,GM,Mary Barra,1,2014-01-15,GM
1,Best Buy,Corie Barry,1,2019-06-01,BBY
2,Anthem Inc,Gail Bordeaux,1,2017-11-06,ANTM
3,Mylan N.V.,Heather Bresch,1,2012-01-01,MYL
4,Hershey,Michele Buck,1,2016-12-01,HSY
5,Ventas,Debra Cafaro,1,1905-06-21,VTR
6,Oracle,Safra Catz,1,2014-09-01,ORCL
7,Ulta,Mary Dillon,1,2013-06-01,ULTA
8,Nasdaq,Adena Friedman,1,2017-01-01,NDAQ
9,Kohls,Michelle Gass,1,1905-07-05,KSS
10,Duke,Lynn Good,1,2012-06-01,DUK
11,Progressive,Tricia Griffith,1,2016-07-01,PGR
12,Lockheed Martin,Marillyn A. Hewson,1,2013-01-01,LMT
13,Occidenal,Vicki Hollub,1,2016-04-01,OXY
14,Franklin Resources,Jennifer Johnson,1,2019-11-21,BEN
15,Synchrony,Margaret M. Keane,1,2014-02-01,SYF
16,CDW,Christine A. Leahy,1,2019-01-01,CDW
17,KeyBank,Beth Mooney,1,2011-05-01,KEY
18,General Dynamics,Phebe N. Novakovic,1,1905-07-04,GD
19,Regency Centers,Lisa Palmer,1,2020-01-01,REG
20,Zoetis,Kristin Peck,1,2020-01-01,ZTS
21,CMS,Patricia Poppe,1,2016-07-01,CMS
22,Ross,Barbara Rentler,1,2014-06-01,ROST
23,IBM,Virginia Rometty,1,2012-01-01,IBM
24,Celanese,Lori Ryerkerk,1,2019-05-01,CE
25,American Water Works,Susan Story,1,2014-05-01,AWK
26,Advanced,Lisa Su,1,2014-10-01,AMD
27,Accenture,Julie Sweet,1,2019-09-01,ACN
28,Arista,Jayshree V. Ullal,1,2008-10-01,ANET
29,Northrop,Kathy Warden,1,2019-01-01,NOC
30,Gap,Sonia Syngal,1,2020-03-23,GPS
31,Vertex,Reshma Kewalramani,1,2020-04-01,VRTX
32,UPS,Carol Tome,1,2020-06-01,UPS
33,Apple,Tim Cook,2,2020-08-11,AAPL
34,Microsoft,satya nadella,2,2014-02-04,MSFT
35,Amazon,jeff bezos,2,1905-06-18,AMZN
36,Facebook,mark zuckerburg,2,1905-06-26,FB
37,Alphabet,sundar pichai,2,2019-12-03,GOOGL
38,Berkshire Hathaway,warren buffet,2,1905-05-23,BRK-B
39,Visa,Alfred F Kelly Jr,2,2016-12-01,V
40,JP Morgan,jamie dimon,2,2005-12-31,JPM
41,Johnson and Johnson,alex gorsky,2,2012-04-26,JNJ
42,Mastercard,Ajaypal Singh Banga,2,2010-06-01,MA
43,Walmart,Doug McMillon,2,2020-02-14,WMT
44,Proctor and Gamble,David S. Taylor,2,2020-11-15,PG
45,Intel,Bob Swan,2,2018-06-21,INTC
46,Bank of America,Brian Moynihan,2,2020-01-10,BAC
47,At&T,Randall L. Stephenson,2,2020-05-07,T
48,United Health,David S. Wichmann,2,2020-09-17,UNH
49,ExxonMobile,Darren Woods,2,2020-01-17,XOM
50,The home depot,Craig Menear,2,2020-11-14,HD
51,Walt Disney,Bob Chapek,2,2020-07-05,DIS
52,Coca-Cola,James Quincey,2,2020-05-17,KO
53,Verizon,Hans Vestberg,2,2020-08-18,VZ
54,Merck,Kenneth C. Frazier,2,2020-01-11,MRK
55,Pfizer,Albert Bourla,2,2020-01-09,PFE
56,Chevron,Mike Wirth,2,2020-02-18,CVX
57,Cisco,Chuck Robbins,2,2020-07-15,CSCO
58,Comcast,Brian L. Roberts,2,2020-11-02,CMCSA
59,PepsiCo,Ramon Laguarta,2,2020-10-18,PEP
60,WellsFargo,Charles W. Scharf,2,2020-10-01,WFC
61,Boeing,Dave Calhoun,2,2020-01-20,BA
62,Adobe,Shantanu Narayen,2,2020-12-07,ADBE
63,Avery Dennison Corp,Mitchell R. Butier,2,2020-05-16,AVY
64,Baker Hughes Co,Lorenzo Simonelli,2,2020-10-17,BKR
